h,k,d,F
-50.0,-50.0,10,2.790538928243931e-07
-50.0,-50.0,15,4.1827281301379884e-07
-50.0,-50.0,20,5.096276051704596e-07
-50.0,-50.0,25,5.664967274958478e-07
-50.0,-50.0,30,6.00108026397417e-07
-50.0,-50.0,35,6.177994816596569e-07
-50.0,-50.0,40,6.243027382556746e-07
-50.0,-50.0,45,6.227770296114811e-07
-50.0,-50.0,50,6.154237442008945e-07
-50.0,-50.0,55,6.038364814592282e-07
-50.0,-50.0,60,5.892037085431535e-07
-50.0,-50.0,65,5.724305062482011e-07
-50.0,-50.0,70,5.542151885435479e-07
-50.0,-50.0,75,5.351000247555282e-07
-50.0,-50.0,80,5.155065447609702e-07
-47.95918367346939,-50.0,10,3.1489782022686007e-07
-47.95918367346939,-50.0,15,4.618082248966156e-07
-47.95918367346939,-50.0,20,5.536137840899002e-07
-47.95918367346939,-50.0,25,6.080890273692334e-07
-47.95918367346939,-50.0,30,6.384008817823174e-07
-47.95918367346939,-50.0,35,6.52647680865307e-07
-47.95918367346939,-50.0,40,6.558472918684479e-07
-47.95918367346939,-50.0,45,6.512579598254781e-07
-47.95918367346939,-50.0,50,6.411057749539704e-07
-47.95918367346939,-50.0,55,6.269797884556643e-07
-47.95918367346939,-50.0,60,6.100529678089182e-07
-47.95918367346939,-50.0,65,5.912114228598224e-07
-47.95918367346939,-50.0,70,5.711340495715069e-07
-47.95918367346939,-50.0,75,5.503444295041785e-07
-47.95918367346939,-50.0,80,5.292465539212188e-07
-45.91836734693877,-50.0,10,3.489616838486422e-07
-45.91836734693877,-50.0,15,5.039275912431749e-07
-45.91836734693877,-50.0,20,5.966085776827347e-07
-45.91836734693877,-50.0,25,6.48982677541927e-07
-45.91836734693877,-50.0,30,6.761773836691356e-07
-45.91836734693877,-50.0,35,6.870909881350995e-07
-45.91836734693877,-50.0,40,6.870554143996821e-07
-45.91836734693877,-50.0,45,6.794450989856769e-07
-45.91836734693877,-50.0,50,6.665212286682895e-07
-45.91836734693877,-50.0,55,6.498746313219142e-07
-45.91836734693877,-50.0,60,6.30666650768861e-07
-45.91836734693877,-50.0,65,6.097667994635627e-07
-45.91836734693877,-50.0,70,5.878359889194095e-07
-45.91836734693877,-50.0,75,5.653799509165317e-07
-45.91836734693877,-50.0,80,5.427855978296733e-07
-43.87755102040816,-50.0,10,3.798959423370268e-07
-43.87755102040816,-50.0,15,5.434525464001129e-07
-43.87755102040816,-50.0,20,6.377546620773241e-07
-43.87755102040816,-50.0,25,6.885756281899555e-07
-43.87755102040816,-50.0,30,7.130104811643891e-07
-43.87755102040816,-50.0,35,7.208192708403859e-07
-43.87755102040816,-50.0,40,7.176958991777396e-07
-43.87755102040816,-50.0,45,7.071617090313585e-07
-43.87755102040816,-50.0,50,6.915319292559351e-07
-43.87755102040816,-50.0,55,6.724108489960612e-07
-43.87755102040816,-50.0,60,6.509554599668577e-07
-43.87755102040816,-50.0,65,6.280232388198844e-07
-43.87755102040816,-50.0,70,6.042599831539625e-07
-43.87755102040816,-50.0,75,5.801553753326329e-07
-43.87755102040816,-50.0,80,5.560803660093849e-07
-41.83673469387755,-50.0,10,4.069780727370324e-07
-41.83673469387755,-50.0,15,5.79565801950492e-07
-41.83673469387755,-50.0,20,6.763735412999481e-07
-41.83673469387755,-50.0,25,7.263548323471042e-07
-41.83673469387755,-50.0,30,7.485194358037622e-07
-41.83673469387755,-50.0,35,7.535477067492859e-07
-41.83673469387755,-50.0,40,7.475519818940924e-07
-41.83673469387755,-50.0,45,7.34239584552063e-07
-41.83673469387755,-50.0,50,7.160048790646788e-07
-41.83673469387755,-50.0,55,6.94481488549719e-07
-41.83673469387755,-50.0,60,6.70832118610249e-07
