h,k,p,d,VF
-50.0,-50.0,0.1,30,0.44517815084480233
-50.0,-49.5,0.1,30,0.4496132052999045
-50.0,-49.0,0.1,30,0.4539845466624912
-50.0,-48.5,0.1,30,0.4582910880692366
-50.0,-48.0,0.1,30,0.462531844499763
-50.0,-47.5,0.1,30,0.46670593051743325
-50.0,-47.0,0.1,30,0.4708125578390214
-50.0,-46.5,0.1,30,0.47485103266140594
-50.0,-46.0,0.1,30,0.4788207527511327
-50.0,-45.5,0.1,30,0.4827212045201326
-50.0,-45.0,0.1,30,0.48655195977881566
-50.0,-44.5,0.1,30,0.49031267251540106
-50.0,-44.0,0.1,30,0.4940030755322352
-50.0,-43.5,0.1,30,0.49762297702467717
-50.0,-43.0,0.1,30,0.5011722571093171
-50.0,-42.5,0.1,30,0.5046508643328128
-50.0,-42.0,0.1,30,0.5080588121587717
-50.0,-41.5,0.1,30,0.5113961754730038
-50.0,-41.0,0.1,30,0.514663087099877
-50.0,-40.5,0.1,30,0.517859734364154
-50.0,-40.0,0.1,30,0.520986355689647
-50.0,-39.5,0.1,30,0.5240432372652598
-50.0,-39.0,0.1,30,0.5270307097747892
-50.0,-38.5,0.1,30,0.5299491452058027
-50.0,-38.0,0.1,30,0.5327989537403257
-50.0,-37.5,0.1,30,0.5355805807591489
-50.0,-37.0,0.1,30,0.5382945038847379
-50.0,-36.5,0.1,30,0.5409412302059321
-50.0,-36.0,0.1,30,0.5435212935482815
-50.0,-35.5,0.1,30,0.5460352518750541
-50.0,-35.0,0.1,30,0.5484836847970225
-50.0,-34.5,0.1,30,0.5508671911945137
-50.0,-34.0,0.1,30,0.5531863869498711
-50.0,-33.5,0.1,30,0.5554419027972403
-50.0,-33.0,0.1,30,0.5576343822826935
-50.0,-32.5,0.1,30,0.5597644798375864
-50.0,-32.0,0.1,30,0.5618328589649016
-50.0,-31.5,0.1,30,0.5638401905345097
-50.0,-31.0,0.1,30,0.5657871511880751
-50.0,-30.5,0.1,30,0.5676744218497248
-50.0,-30.0,0.1,30,0.5695026863438768
-50.0,-29.5,0.1,30,0.5712726301103439
-50.0,-29.0,0.1,30,0.5729849390257357
-50.0,-28.5,0.1,30,0.5746402983161688
-50.0,-28.0,0.1,30,0.5762393915683132
-50.0,-27.5,0.1,30,0.5777828998302597
-50.0,-27.0,0.1,30,0.5792715008003915
-50.0,-26.5,0.1,30,0.5807058681029089
-50.0,-26.0,0.1,30,0.5820866706460809
-50.0,-25.5,0.1,30,0.5834145720564545
-50.0,-25.0,0.1,30,0.5846902302017196
-50.0,-24.5,0.1,30,0.5859142967451583
-50.0,-24.0,0.1,30,0.5870874168528762
-50.0,-23.5,0.1,30,0.5882102288668839
-50.0,-23.0,0.1,30,0.5892833641112564
-50.0,-22.5,0.1,30,0.5903074467311881
-50.0,-22.0,0.1,30,0.591283093592414
-50.0,-21.5,0.1,30,0.5922109142283982
-50.0,-21.0,0.1,30,0.5930915108470504
-50.0,-20.5,0.1,30,0.5939254783669359
-50.0,-20.0,0.1,30,0.5947134045077628
